Station,X,Y,Z,Dimension,Value,Unit
2894,-32.187827,26.010811,0.001985,,NA,
2895,-32.140117,26.070045,0.00108,,NA,
2896,-32.092298,26.129191,0.001602,,NA,
2897,-32.04437,26.188249,0.001448,,NA,
2898,-31.996334,26.247219,0.002671,,NA,
2899,-31.94819,26.3061,0.004019,,NA,
2900,-31.899937,26.364893,0.002462,,NA,
2901,-31.851576,26.423597,0.001806,,NA,
2902,-31.803107,26.482212,0.002008,,NA,
2903,-31.754531,26.540737,0.0018,,NA,
2904,-31.705847,26.599173,0.00127,,NA,
2905,-31.657056,26.65752,0.001848,,NA,
2906,-31.608158,26.715777,0.00162,,NA,
2907,-31.559152,26.773944,0.001531,,NA,
2908,-31.51004,26.83202,0.003876,,NA,
2909,-31.460821,26.890006,0.002062,,NA,
2910,-31.411495,26.947902,0.002094,,NA,
2911,-31.362063,27.005707,0.002131,,NA,
2912,-31.312525,27.06342,0.001644,,NA,
2913,-31.262881,27.121043,0.001578,,NA,
2914,-31.213131,27.178574,0.001337,,NA,
2915,-31.163275,27.236014,0.001148,,NA,
2916,-31.113313,27.293361,0.001147,,NA,
2917,-31.063247,27.350617,0.001231,,NA,
2918,-31.013075,27.407781,0.001148,,NA,
2919,-30.962798,27.464852,0.001429,,NA,
2920,-30.912416,27.521831,0.002078,,NA,
2921,-30.86193,27.578717,0.003022,,NA,
2922,-30.811339,27.63551,0.002466,,NA,
2923,-30.760643,27.69221,0.002263,,NA,
2924,-30.709844,27.748817,0.002297,,NA,
2925,-30.65894,27.80533,0.00264,,NA,
2926,-30.607933,27.86175,0.002298,,NA,
2927,-30.556822,27.918075,0.003158,,NA,
2928,-30.505607,27.974307,0.00164,,NA,
2929,-30.454289,28.030444,0.001265,,NA,
2930,-30.402869,28.086487,0.001272,,NA,
2931,-30.351345,28.142435,0.000462,,NA,
2932,-30.299718,28.198288,-0.000221,,NA,
2933,-30.247989,28.254047,-0.000483,,NA,
2934,-30.196157,28.30971,-0.000816,,NA,
2935,-30.144223,28.365277,-0.000654,,NA,
2936,-30.092187,28.420749,-7.00E-05,,NA,
2937,-30.040049,28.476126,0.001942,,NA,
2938,-29.987809,28.531406,0.001863,,NA,
2939,-29.935468,28.58659,0.002461,,NA,
2940,-29.883025,28.641678,0.002899,,NA,
2941,-29.830481,28.696669,0.002728,,NA,
2942,-29.777836,28.751564,0.00224,,NA,
2943,-29.72509,28.806362,0.001523,,NA,
2944,-29.672244,28.861062,0.001857,,NA,
2945,-29.619297,28.915666,0.003556,,NA,
2946,-29.56625,28.970172,0.003296,,NA,
2947,-29.513102,29.02458,0.001669,,NA,
2948,-29.459855,29.07889,0.001992,,NA,
2949,-29.406508,29.133103,0.002353,,NA,
2950,-29.353061,29.187217,0.001949,,NA,
2951,-29.299515,29.241233,0.002142,,NA,
2952,-29.245869,29.29515,0.001904,,NA,
2953,-29.192125,29.348969,0.002224,,NA,
2954,-29.138282,29.402689,0.00291,,NA,
2955,-29.08434,29.456309,0.003687,,NA,
2956,-29.030299,29.509831,0.002295,,NA,
2957,-28.97616,29.563253,0.002348,,NA,
2958,-28.921923,29.616575,0.002378,,NA,
2959,-28.867588,29.669797,0.001856,,NA,
2960,-28.813156,29.72292,0.001926,,NA,
2961,-28.758625,29.775942,0.001753,,NA,
2962,-28.703998,29.828864,0.001899,,NA,
2963,-28.649273,29.881685,0.002998,,NA,
2964,-28.594451,29.934406,0.003207,,NA,
2965,-28.539532,29.987025,0.003536,,NA,
2966,-28.484516,30.039544,0.001488,,NA,
2967,-28.429404,30.091961,0.001518,,NA,
2968,-28.374196,30.144277,0.0015,,NA,
2969,-28.318892,30.196492,0.001481,,NA,
2970,-28.263492,30.248604,0.002167,,NA,
2971,-28.207996,30.300615,0.001582,,NA,
2972,-28.152404,30.352523,0.00155,,NA,
2973,-28.096717,30.404329,0.005363,,NA,
2974,-28.040935,30.456033,0.004381,,NA,
2975,-27.985058,30.507634,0.005106,,NA,
2976,-27.929086,30.559132,0.001538,,NA,
2977,-27.87302,30.610527,0.002607,,NA,
2978,-27.816859,30.661819,0.002704,,NA,
2979,-27.760604,30.713008,0.002237,,NA,
2980,-27.704255,30.764093,0.002231,,NA,
2981,-27.647812,30.815075,0.001871,,NA,
2982,-27.591275,30.865952,0.00281,,NA,
2983,-27.534645,30.916726,0.003154,,NA,
2984,-27.477922,30.967395,0.002864,,NA,
2985,-27.421106,31.01796,0.002188,,NA,
2986,-27.364196,31.06842,0.001609,,NA,
2987,-27.307194,31.118776,0.002023,,NA,
2988,-27.2501,31.169026,0.001417,,NA,
2989,-27.192913,31.219172,0.002294,,NA,
2990,-27.135634,31.269212,0.001918,,NA,
2991,-27.078263,31.319147,0.002417,,NA,
2992,-27.020801,31.368977,0.003795,,NA,
2993,-26.963247,31.4187,0.005312,,NA,
2994,-26.905602,31.468318,0.00366,,NA,
2995,-26.847865,31.51783,0.003796,,NA,
2996,-26.790038,31.567235,0.00364,,NA,
2997,-26.732119,31.616534,0.003611,,NA,
2998,-26.674111,31.665727,0.003532,,NA,
2999,-26.616012,31.714812,0.004084,,NA,
3000,-26.557822,31.763791,0.005444,,NA,
3001,-26.499543,31.812663,0.005892,,NA,
3002,-26.441174,31.861427,0.00495,,NA,
3003,-26.382715,31.910084,0.005074,,NA,
3004,-26.324167,31.958634,0.00521,,NA,
3005,-26.26553,32.007075,0.005867,,NA,
3006,-26.206804,32.055409,0.005956,,NA,
3007,-26.147989,32.103635,0.006507,,NA,
3008,-26.089086,32.151752,0.006162,,NA,
3009,-26.030094,32.199761,0.007783,,NA,
3010,-25.971014,32.247662,0.007552,,NA,
3011,-25.911846,32.295454,0.007027,,NA,
3012,-25.85259,32.343137,0.007642,,NA,
3013,-25.793247,32.39071,0.006683,,NA,
3014,-25.733816,32.438175,0.006832,,NA,
3015,-25.674298,32.485531,0.006192,,NA,
3016,-25.614693,32.532776,0.006746,,NA,
3017,-25.555002,32.579912,0.006432,,NA,
3018,-25.495224,32.626939,0.006341,,NA,
3019,-25.435359,32.673855,0.007837,,NA,
3020,-25.375408,32.720661,0.007202,,NA,
3021,-25.315372,32.767357,0.007383,,NA,
3022,-25.255249,32.813942,0.007177,,NA,
3023,-25.195041,32.860417,0.006671,,NA,
3024,-25.134748,32.906781,0.006957,,NA,
3025,-25.074369,32.953034,0.006717,,NA,
3026,-25.013905,32.999176,0.006631,,NA,
3027,-24.953357,33.045206,0.005907,,NA,
3028,-24.892724,33.091126,0.007477,,NA,
3029,-24.832007,33.136933,0.006497,,NA,
3030,-24.771206,33.182629,0.006337,,NA,
3031,-24.710321,33.228213,0.006222,,NA,
3032,-24.649352,33.273685,0.005873,,NA,
3033,-24.5883,33.319045,0.005757,,NA,
3034,-24.527164,33.364293,0.005788,,NA,
3035,-24.465945,33.409427,0.005619,,NA,
3036,-24.404643,33.45445,0.005809,,NA,
3037,-24.343259,33.499359,0.005881,,NA,
3038,-24.281792,33.544156,0.005963,,NA,
3039,-24.220243,33.588839,0.006694,,NA,
3040,-24.158612,33.63341,0.006199,,NA,
3041,-24.096899,33.677866,0.006577,,NA,
3042,-24.035104,33.72221,0.005407,,NA,
3043,-23.973228,33.766439,0.005335,,NA,
3044,-23.911271,33.810555,0.005405,,NA,
3045,-23.849232,33.854557,0.005677,,NA,
3046,-23.787113,33.898444,0.00509,,NA,
3047,-23.724913,33.942218,0.005486,,NA,
3048,-23.662633,33.985876,0.006549,,NA,
3049,-23.600273,34.029421,0.005357,,NA,
3050,-23.537833,34.07285,0.005406,,NA,
3051,-23.475313,34.116165,0.004778,,NA,
3052,-23.412713,34.159364,0.005037,,NA,
3053,-23.350034,34.202449,0.004902,,NA,
3054,-23.287276,34.245418,0.004434,,NA,
3055,-23.224439,34.288271,0.005158,,NA,
3056,-23.161524,34.331009,0.004528,,NA,
3057,-23.098529,34.373631,0.005065,,NA,
3058,-23.035457,34.416138,0.004722,,NA,
3059,-22.972307,34.458528,0.005182,,NA,
3060,-22.909078,34.500802,0.004689,,NA,
3061,-22.845772,34.54296,0.003485,,NA,
3062,-22.782389,34.585001,0.004254,,NA,
3063,-22.718929,34.626926,0.003167,,NA,
3064,-22.655391,34.668734,0.00391,,NA,
3065,-22.591777,34.710424,0.003841,,NA,
